epoch,val_acc,f1_ripe,val_loss
1,0.7954545454545454,0.8496993987975952,0.17326270416378975
2,0.8538961038961039,0.8775510204081632,0.11599659100174904
3,0.8538961038961039,0.8701030927835052,0.09532683342695236
4,0.8652597402597403,0.8553719008264463,0.09187565613538026
5,0.8847402597402597,0.8879837067209776,0.07688153199851513
6,0.887987012987013,0.8953488372093024,0.08008178351446986
7,0.9074675324675324,0.912,0.06783891264349222
8,0.922077922077922,0.924643584521385,0.06130102160386741
9,0.9074675324675324,0.9164969450101833,0.05835675923153758
10,0.913961038961039,0.92,0.057232664246112105
11,0.9042207792207793,0.9057377049180327,0.05548812644556165
12,0.9107142857142857,0.912,0.05315591567195952
13,0.9172077922077922,0.9215291750503019,0.05067516202107072
14,0.9155844155844156,0.9171717171717172,0.05244959471747279
15,0.9155844155844156,0.9227722772277228,0.0519833582919091
16,0.9188311688311688,0.928,0.05022654845379293
17,0.9090909090909091,0.9105691056910569,0.051589212473481895
18,0.9188311688311688,0.9149797570850202,0.04854520605877042
19,0.9107142857142857,0.9117043121149897,0.05007568974979222
20,0.913961038961039,0.9243353783231084,0.04933753041550517
21,0.9074675324675324,0.9072164948453608,0.05404357914812863
22,0.922077922077922,0.9264413518886679,0.050401275791227815
23,0.926948051948052,0.9352226720647774,0.04724108199588954
24,0.9334415584415584,0.9397590361445783,0.04655619999393821
25,0.9188311688311688,0.9190283400809717,0.04808312880340963
26,0.922077922077922,0.9270216962524654,0.055121170124039054
27,0.9090909090909091,0.9109311740890689,0.04883360853418708
28,0.9237012987012987,0.9285714285714286,0.04725063946098089
29,0.9172077922077922,0.9203187250996016,0.04875008971430361
30,0.913961038961039,0.9227642276422764,0.04650915986858308
